FAAS SIMULATION SUMMARY
======================

Report generated: 2025-07-21 16:12:25

Topology Overview:
  Number of nodes: 368
  Number of functions: 15
  Number of images: 5

Node Distribution:
  rpi4_122: 60 invocations (0.1%)
  rpi3_139: 34 invocations (0.0%)
  rpi3_138: 34 invocations (0.0%)
  rpi3_131: 12 invocations (0.0%)
  rpi3_129: 12 invocations (0.0%)
  rpi3_130: 12 invocations (0.0%)
  rpi3_136: 26 invocations (0.0%)
  rpi3_70: 27 invocations (0.0%)
  rpi3_69: 27 invocations (0.0%)
  rpi3_135: 25 invocations (0.0%)
  rpi3_71: 25 invocations (0.0%)
  rpi4_53: 25 invocations (0.0%)
  rpi3_107: 20 invocations (0.0%)
  rpi3_76: 20 invocations (0.0%)
  rpi3_105: 20 invocations (0.0%)
  rpi3_106: 19 invocations (0.0%)
  rpi3_77: 20 invocations (0.0%)
  rpi4_142: 25 invocations (0.0%)
  rpi4_177: 25 invocations (0.0%)
  rpi4_52: 25 invocations (0.0%)
  rpi4_143: 17 invocations (0.0%)
  rpi4_33: 15 invocations (0.0%)
  rpi4_120: 16 invocations (0.0%)
  rpi4_121: 10 invocations (0.0%)
  rpi3_58: 8 invocations (0.0%)
  rpi3_57: 8 invocations (0.0%)
  rpi4_31: 8 invocations (0.0%)
  rpi3_85: 4 invocations (0.0%)
  rpi3_84: 4 invocations (0.0%)
  rpi3_86: 3 invocations (0.0%)
  rpi4_0: 1 invocations (0.0%)
  coral_1: 1 invocations (0.0%)

Function Distribution:
  resnet50-inference-downtown: 12162 invocations (11.5%)
  resnet50-inference: 10624 invocations (10.1%)
  resnet50-inference-industrial: 9472 invocations (9.0%)
  resnet50-inference-suburb: 6389 invocations (6.1%)
  resnet50-inference-residential: 7768 invocations (7.4%)
  speech-inference-downtown: 9838 invocations (9.3%)
  speech-inference-industrial: 8988 invocations (8.5%)
  speech-inference: 9273 invocations (8.8%)
  speech-inference-suburb: 6921 invocations (6.6%)
  resnet50-preprocessing-downtown: 6493 invocations (6.2%)
  resnet50-preprocessing: 6949 invocations (6.6%)
  resnet50-preprocessing-industrial: 5462 invocations (5.2%)
  resnet50-preprocessing-suburb: 5047 invocations (4.8%)
  resnet50-training-downtown: 4 invocations (0.0%)
  resnet50-training: 4 invocations (0.0%)
Network Activity:
  Total transfers: 1310
