FUNCTION DEPLOYMENT TIMELINE
============================

Report generated: 2025-07-21 16:01:09

Total deployment events: 2182
Number of node-function combinations: 646

Event Type Summary:
  Deployment events: 15
  Replica events: 1200
  Network events: 967

CHRONOLOGICAL TIMELINE
======================

t=  17.4s | network    | registry → rpi4_8    | unknown                   | docker_pull (66.8 MB)
t=  17.5s | network    | registry → rpi4_9    | unknown                   | docker_pull (66.8 MB)
t=  17.6s | network    | registry → rpi4_26   | unknown                   | docker_pull (66.8 MB)
t=  17.7s | network    | registry → rpi4_27   | unknown                   | docker_pull (66.8 MB)
t=  17.8s | network    | registry → rpi4_16   | unknown                   | docker_pull (66.8 MB)
t=  17.9s | network    | registry → rpi3_14   | unknown                   | docker_pull (130.7 MB)
t=  18.0s | replica    | rpi4_48              | speech-inference          | startup replica of speech-inference
t=  18.0s | network    | registry → rockpi_4  | unknown                   | docker_pull (182.2 MB)
t=  18.1s | network    | registry → rockpi_3  | unknown                   | docker_pull (182.2 MB)
t=  18.2s | network    | registry → nuc_16    | unknown                   | docker_pull (190.7 MB)
t=  18.3s | network    | registry → nuc_17    | unknown                   | docker_pull (190.7 MB)
t=  18.4s | network    | rpi4_34 → nuc_6      | unknown                   | data_download (55.3 MB)
t=  18.5s | network    | registry → rockpi_3  | unknown                   | docker_pull (38.1 MB)
t=  18.6s | network    | registry → rockpi_28 | unknown                   | docker_pull (38.1 MB)
t=  18.7s | network    | registry → rpi4_17   | unknown                   | docker_pull (66.8 MB)
t=  18.8s | network    | registry → rpi4_22   | unknown                   | docker_pull (66.8 MB)
t=  18.9s | network    | registry → rpi4_23   | unknown                   | docker_pull (66.8 MB)
t=  19.0s | replica    | rpi4_48              | speech-inference          | setup replica of speech-inference
t=  19.0s | network    | registry → rpi4_38   | unknown                   | docker_pull (66.8 MB)
t=  19.1s | network    | registry → rpi4_39   | unknown                   | docker_pull (66.8 MB)
t=  19.2s | network    | registry → rockpi_13 | unknown                   | docker_pull (38.1 MB)
t=  19.3s | network    | registry → rpi4_34   | unknown                   | docker_pull (31.5 MB)
