FUNCTION DEPLOYMENT TIMELINE
============================

Report generated: 2025-07-24 15:46:08

Total deployment events: 1580
Number of node-function combinations: 230

Event Type Summary:
  Deployment events: 4
  Replica events: 957
  Network events: 619

CHRONOLOGICAL TIMELINE
======================

t=   0.0s | deployment | global               | resnet50-training         | deploy resnet50-training
t=  23.6s | network    | nuc_9 → tx2_0        | unknown                   | data_download (55.3 MB)
t=  23.7s | network    | nuc_9 → xeongpu_4    | unknown                   | data_download (55.3 MB)
t=  23.8s | network    | nuc_9 → xeongpu_5    | unknown                   | data_download (55.3 MB)
t=  23.9s | network    | nuc_9 → tx2_1        | unknown                   | data_download (55.3 MB)
t=  24.0s | replica    | nx_3                 | resnet50-training-industrial | setup replica of resnet50-training-industrial
t=  24.0s | network    | nuc_9 → xeongpu_4    | unknown                   | data_download (55.3 MB)
t=  24.1s | network    | nuc_9 → tx2_1        | unknown                   | data_download (55.3 MB)
t=  24.2s | network    | nuc_9 → tx2_0        | unknown                   | data_download (55.3 MB)
t=  24.3s | network    | nuc_9 → xeongpu_5    | unknown                   | data_download (55.3 MB)
t=  24.4s | network    | nuc_9 → tx2_0        | unknown                   | data_download (55.3 MB)
t=  24.5s | network    | nuc_9 → tx2_1        | unknown                   | data_download (55.3 MB)
t=  24.6s | network    | nuc_9 → xeongpu_4    | unknown                   | data_download (55.3 MB)
t=  24.7s | network    | registry → nuc_36    | unknown                   | docker_pull (190.7 MB)
t=  24.8s | network    | registry → nuc_37    | unknown                   | docker_pull (190.7 MB)
t=  24.9s | network    | registry → nuc_38    | unknown                   | docker_pull (190.7 MB)
t=  25.0s | replica    | nx_3                 | resnet50-training-industrial | finish replica of resnet50-training-industrial
t=  25.0s | network    | registry → nuc_39    | unknown                   | docker_pull (190.7 MB)
t=  25.1s | network    | registry → nuc_40    | unknown                   | docker_pull (190.7 MB)
t=  25.2s | network    | registry → nuc_41    | unknown                   | docker_pull (190.7 MB)
t=  25.3s | network    | registry → nuc_42    | unknown                   | docker_pull (190.7 MB)
t=  25.4s | network    | registry → nuc_43    | unknown                   | docker_pull (190.7 MB)
t=  25.5s | network    | nuc_9 → tx2_2        | unknown                   | data_download (55.3 MB)
t=  25.6s | network    | nuc_9 → tx2_2        | unknown                   | data_download (55.3 MB)
t=  25.7s | network    | nuc_9 → tx2_2        | unknown                   | data_download (55.3 MB)
t=  25.8s | network    | nuc_9 → nx_2         | unknown                   | data_download (55.3 MB)
t=  25.9s | network    | nuc_9 → nx_2         | unknown                   | data_download (55.3 MB)
t=  26.0s | replica    | nx_2                 | resnet50-training         | startup replica of resnet50-training
t=  26.0s | network    | nuc_9 → nx_0         | unknown                   | data_download (55.3 MB)
t=  26.1s | network    | nuc_9 → nx_1         | unknown                   | data_download (55.3 MB)
t=  26.2s | network    | nuc_9 → nx_1         | unknown                   | data_download (55.3 MB)
t=  26.3s | network    | nuc_9 → nx_0         | unknown                   | data_download (55.3 MB)
t=  26.4s | network    | nuc_9 → nx_2         | unknown                   | data_download (55.3 MB)
t=  26.5s | network    | nuc_9 → nx_0         | unknown                   | data_download (55.3 MB)
t=  26.6s | network    | nuc_9 → nx_0         | unknown                   | data_download (55.3 MB)
t=  26.7s | network    | nuc_9 → nx_1         | unknown                   | data_download (55.3 MB)
t=  26.8s | network    | nuc_9 → nx_2         | unknown                   | data_download (55.3 MB)
t=  26.9s | network    | nuc_9 → tx2_2        | unknown                   | data_download (55.3 MB)
t=  27.0s | replica    | nx_2                 | resnet50-training         | setup replica of resnet50-training
t=  27.0s | network    | registry → nuc_44    | unknown                   | docker_pull (190.7 MB)
t=  27.1s | network    | registry → nuc_45    | unknown                   | docker_pull (190.7 MB)
t=  27.2s | network    | registry → nuc_46    | unknown                   | docker_pull (190.7 MB)
t=  27.3s | network    | registry → nuc_47    | unknown                   | docker_pull (190.7 MB)
t=  27.4s | network    | nuc_9 → nx_1         | unknown                   | data_download (55.3 MB)
t=  27.5s | network    | registry → nuc_48    | unknown                   | docker_pull (190.7 MB)
t=  27.6s | network    | registry → nuc_49    | unknown                   | docker_pull (190.7 MB)
t=  27.7s | network    | registry → nuc_50    | unknown                   | docker_pull (190.7 MB)
t=  27.8s | network    | registry → nuc_51    | unknown                   | docker_pull (190.7 MB)
t=  27.9s | network    | nuc_9 → tx2_3        | unknown                   | data_download (55.3 MB)
t=  28.0s | replica    | nx_2                 | resnet50-training         | finish replica of resnet50-training
t=  28.0s | network    | nuc_9 → xeongpu_0    | unknown                   | data_download (55.3 MB)
t=  28.1s | network    | nuc_9 → nx_3         | unknown                   | data_download (55.3 MB)
t=  28.2s | network    | nuc_9 → tx2_3        | unknown                   | data_download (55.3 MB)
t=  28.3s | network    | nuc_9 → xeongpu_0    | unknown                   | data_download (55.3 MB)
t=  28.4s | network    | nuc_9 → xeongpu_1    | unknown                   | data_download (55.3 MB)
t=  28.5s | network    | nuc_9 → nx_3         | unknown                   | data_download (55.3 MB)
t=  28.6s | network    | nuc_9 → tx2_3        | unknown                   | data_download (55.3 MB)
t=  28.7s | network    | nuc_9 → xeongpu_0    | unknown                   | data_download (55.3 MB)
t=  28.8s | network    | nuc_9 → xeongpu_1    | unknown                   | data_download (55.3 MB)
t=  28.9s | network    | nuc_9 → xeongpu_1    | unknown                   | data_download (55.3 MB)
t=  29.0s | replica    | nx_3                 | resnet50-training-suburb  | startup replica of resnet50-training-suburb
t=  29.0s | network    | nuc_9 → nx_3         | unknown                   | data_download (55.3 MB)
t=  29.1s | network    | nuc_9 → tx2_3        | unknown                   | data_download (55.3 MB)
t=  29.2s | network    | nuc_9 → nx_3         | unknown                   | data_download (55.3 MB)
t=  29.3s | network    | nuc_9 → xeongpu_0    | unknown                   | data_download (55.3 MB)
t=  29.4s | network    | nuc_9 → xeongpu_1    | unknown                   | data_download (55.3 MB)
t=  29.5s | network    | nuc_9 → xeongpu_5    | unknown                   | data_download (55.3 MB)
