FAAS SIMULATION SUMMARY
======================

Report generated: 2025-07-23 14:32:44

Topology Overview:
  Number of nodes: 225
  Number of functions: 18
  Number of images: 3

Node Distribution:
  registry → rpi3_175: 66.76 MB in 0.58 s
  registry → rpi3_176: 66.76 MB in 0.58 s
  registry → rpi3_177: 66.76 MB in 0.58 s
  registry → rpi3_178: 66.76 MB in 0.58 s
  registry → rpi3_18: 66.76 MB in 0.58 s
  registry → rpi3_19: 66.76 MB in 0.58 s
  registry → rpi3_2: 31.47 MB in 0.28 s
  registry → rpi3_20: 66.76 MB in 0.58 s
  registry → rpi3_21: 31.47 MB in 0.27 s
  registry → rpi3_22: 130.65 MB in 1.13 s
  registry → rpi3_23: 130.65 MB in 1.13 s
  registry → rpi3_24: 197.41 MB in 1.71 s
  registry → rpi3_25: 197.41 MB in 1.71 s
  registry → rpi3_26: 98.23 MB in 0.86 s
  registry → rpi3_27: 66.76 MB in 0.58 s
  registry → rpi3_28: 66.76 MB in 0.58 s
  registry → rpi3_29: 66.76 MB in 0.58 s
  registry → rpi3_3: 197.41 MB in 1.71 s
  registry → rpi3_30: 31.47 MB in 0.28 s
  registry → rpi3_31: 31.47 MB in 0.28 s
  registry → rpi3_32: 31.47 MB in 0.28 s
  registry → rpi3_33: 66.76 MB in 0.58 s
  registry → rpi3_34: 66.76 MB in 0.58 s
  registry → rpi3_35: 66.76 MB in 0.58 s
  registry → rpi3_36: 197.41 MB in 1.71 s
  registry → rpi3_37: 197.41 MB in 1.71 s
  registry → rpi3_38: 197.41 MB in 1.71 s
  registry → rpi3_39: 31.47 MB in 0.28 s
  registry → rpi3_4: 197.41 MB in 1.71 s
  registry → rpi3_40: 31.47 MB in 0.28 s
  registry → rpi3_41: 31.47 MB in 0.28 s
  registry → rpi3_42: 197.41 MB in 1.71 s
  registry → rpi3_43: 130.65 MB in 1.13 s
  registry → rpi3_44: 130.65 MB in 1.13 s
  registry → rpi3_45: 66.76 MB in 0.58 s
  registry → rpi3_46: 66.76 MB in 0.58 s
  registry → rpi3_47: 66.76 MB in 0.58 s
  registry → rpi3_48: 66.76 MB in 0.58 s
  registry → rpi3_49: 66.76 MB in 0.58 s
  registry → rpi3_5: 66.76 MB in 0.58 s
  registry → rpi3_50: 66.76 MB in 0.58 s
  registry → rpi3_51: 130.65 MB in 1.17 s
  registry → rpi3_52: 66.76 MB in 0.61 s
  registry → rpi3_53: 66.76 MB in 0.61 s
  registry → rpi3_54: 66.76 MB in 0.58 s
  registry → rpi3_55: 66.76 MB in 0.58 s
  registry → rpi3_56: 66.76 MB in 0.58 s
  registry → rpi3_57: 98.23 MB in 0.86 s
  registry → rpi3_58: 31.47 MB in 0.28 s
