FAAS SIMULATION SUMMARY
======================

Report generated: 2025-07-31 17:00:27

Topology Overview:
  Number of nodes: 425
  Number of functions: 7
  Number of images: 2

Node Distribution:
  python-pi-suburb: 2497 invocations (15.0%)
  python-pi-industrial: 2488 invocations (14.9%)
  python-pi: 2481 invocations (14.9%)
  python-pi-residential: 2409 invocations (14.4%)
  fio-downtown: 921 invocations (5.5%)
  fio: 3375 invocations (20.2%)
Network Activity:
  Total transfers: 588
  Total bytes transferred: 25648.12 MB
  Transfer duration: 241.77 s

Network Flows:
  registry → coral_0: 59.13 MB in 0.51 s
  registry → coral_1: 59.13 MB in 0.51 s
  registry → coral_12: 59.13 MB in 0.51 s
  registry → coral_2: 59.13 MB in 0.51 s
  registry → coral_3: 59.13 MB in 0.51 s
  registry → coral_4: 59.13 MB in 0.51 s
  registry → coral_5: 59.13 MB in 0.51 s
  registry → coral_6: 59.13 MB in 0.51 s
  registry → coral_7: 59.13 MB in 0.51 s
  registry → nx_0: 59.13 MB in 0.51 s
  registry → nx_1: 59.13 MB in 0.51 s
  registry → rockpi_0: 59.13 MB in 0.51 s
  registry → rockpi_10: 59.13 MB in 0.51 s
  registry → rockpi_101: 59.13 MB in 0.51 s
  registry → rockpi_102: 59.13 MB in 0.51 s
  registry → rockpi_103: 59.13 MB in 0.51 s
  registry → rockpi_104: 59.13 MB in 0.51 s
  registry → rockpi_105: 59.13 MB in 0.51 s
  registry → rockpi_106: 59.13 MB in 0.51 s
  registry → rockpi_107: 59.13 MB in 0.51 s
  registry → rockpi_108: 59.13 MB in 0.51 s
  registry → rockpi_11: 59.13 MB in 0.51 s
  registry → rockpi_110: 59.13 MB in 0.51 s
  registry → rockpi_111: 59.13 MB in 0.51 s
  registry → rockpi_112: 59.13 MB in 0.51 s
  registry → rockpi_115: 59.13 MB in 0.51 s
  registry → rockpi_116: 59.13 MB in 0.51 s
  registry → rockpi_118: 59.13 MB in 0.51 s
  registry → rockpi_12: 59.13 MB in 0.51 s
  registry → rockpi_120: 59.13 MB in 0.51 s
  registry → rockpi_122: 59.13 MB in 0.51 s
  registry → rockpi_123: 59.13 MB in 0.51 s
  registry → rockpi_125: 59.13 MB in 0.51 s
  registry → rockpi_128: 59.13 MB in 0.51 s
  registry → rockpi_129: 59.13 MB in 0.51 s
