FAAS SIMULATION SUMMARY
======================

Report generated: 2025-08-19 05:46:25

Topology Overview:
  Number of nodes: 210
  Number of functions: 6
  Number of images: 8

Node Distribution:
  registry → nx_26: 154.50 MB in 1.34 s
  registry → nx_27: 133.51 MB in 1.16 s
  registry → nx_28: 190.73 MB in 1.65 s
  registry → nx_29: 133.51 MB in 1.16 s
  registry → nx_3: 154.50 MB in 1.34 s
  registry → nx_4: 133.51 MB in 1.16 s
  registry → nx_5: 95.37 MB in 0.83 s
  registry → nx_6: 133.51 MB in 1.16 s
  registry → nx_7: 133.51 MB in 1.16 s
  registry → nx_8: 154.50 MB in 1.34 s
  registry → nx_9: 154.50 MB in 1.34 s
  registry → rockpi_0: 97.27 MB in 0.85 s
  registry → rockpi_1: 97.27 MB in 1.52 s
  registry → rockpi_10: 97.27 MB in 0.85 s
  registry → rockpi_11: 97.27 MB in 0.85 s
  registry → rockpi_12: 97.27 MB in 1.64 s
  registry → rockpi_13: 97.27 MB in 0.85 s
  registry → rockpi_15: 97.27 MB in 1.66 s
  registry → rockpi_16: 97.27 MB in 0.85 s
  registry → rockpi_17: 97.27 MB in 1.65 s
  registry → rockpi_2: 97.27 MB in 0.85 s
  registry → rockpi_20: 97.27 MB in 1.50 s
  registry → rockpi_22: 97.27 MB in 0.85 s
  registry → rockpi_23: 97.27 MB in 1.50 s
  registry → rockpi_24: 97.27 MB in 1.50 s
  registry → rockpi_25: 97.27 MB in 0.85 s
  registry → rockpi_26: 97.27 MB in 1.68 s
  registry → rockpi_27: 97.27 MB in 1.50 s
