FUNCTION DEPLOYMENT TIMELINE
============================

Report generated: 2025-07-28 17:02:54

Total deployment events: 3134
Number of node-function combinations: 1001

Event Type Summary:
  Deployment events: 8
  Replica events: 2293
  Network events: 833

CHRONOLOGICAL TIMELINE
======================

t=   0.0s | deployment | global               | resnet50-inference        | deploy resnet50-inference
t=  21.9s | network    | nuc_9 → nano_3       | unknown                   | data_download (55.3 MB)
t=  22.0s | replica    | nano_15              | resnet50-inference-commercial | setup replica of resnet50-inference-commercial
t=  22.0s | network    | nuc_9 → nano_15      | unknown                   | data_download (55.3 MB)
t=  22.1s | network    | nuc_9 → nano_16      | unknown                   | data_download (55.3 MB)
t=  22.2s | network    | registry → rpi4_26   | unknown                   | docker_pull (66.8 MB)
t=  22.3s | network    | registry → rpi4_27   | unknown                   | docker_pull (66.8 MB)
t=  22.4s | network    | registry → rpi4_14   | unknown                   | docker_pull (66.8 MB)
t=  22.5s | network    | registry → rpi4_15   | unknown                   | docker_pull (66.8 MB)
t=  22.6s | network    | registry → rpi4_30   | unknown                   | docker_pull (66.8 MB)
t=  22.7s | network    | registry → coral_1   | unknown                   | docker_pull (80.1 MB)
t=  22.8s | network    | registry → nuc_68    | unknown                   | docker_pull (190.7 MB)
t=  22.9s | network    | registry → nuc_84    | unknown                   | docker_pull (190.7 MB)
t=  23.0s | replica    | nano_0               | resnet50-training         | startup replica of resnet50-training
t=  23.0s | network    | nuc_9 → nano_15      | unknown                   | data_download (55.3 MB)
t=  23.1s | network    | nuc_9 → nano_16      | unknown                   | data_download (55.3 MB)
t=  23.2s | network    | nuc_9 → tx2_0        | unknown                   | data_download (98.2 MB)
t=  23.3s | network    | nuc_9 → nano_15      | unknown                   | data_download (55.3 MB)
t=  23.4s | network    | registry → rpi4_31   | unknown                   | docker_pull (66.8 MB)
t=  23.5s | network    | registry → rpi3_21   | unknown                   | docker_pull (66.8 MB)
t=  23.6s | network    | registry → rpi3_22   | unknown                   | docker_pull (66.8 MB)
t=  23.7s | network    | registry → rpi3_23   | unknown                   | docker_pull (66.8 MB)
t=  23.8s | network    | registry → rpi4_4    | unknown                   | docker_pull (66.8 MB)
t=  23.9s | network    | registry → rpi4_5    | unknown                   | docker_pull (66.8 MB)
t=  24.0s | replica    | nano_0               | resnet50-training         | setup replica of resnet50-training
t=  24.0s | network    | nuc_9 → nano_15      | unknown                   | data_download (98.2 MB)
t=  24.1s | network    | nuc_9 → nano_16      | unknown                   | data_download (55.3 MB)
t=  24.2s | network    | nuc_9 → nano_17      | unknown                   | data_download (98.2 MB)
t=  24.3s | network    | nuc_9 → xeongpu_1    | unknown                   | data_download (98.2 MB)
t=  24.4s | network    | registry → nuc_86    | unknown                   | docker_pull (190.7 MB)
t=  24.5s | network    | registry → nuc_90    | unknown                   | docker_pull (190.7 MB)
t=  24.6s | network    | nuc_9 → xeongpu_2    | unknown                   | data_download (98.2 MB)
t=  24.7s | network    | nuc_9 → tx2_1        | unknown                   | data_download (98.2 MB)
t=  24.8s | network    | nuc_9 → nano_1       | unknown                   | data_download (98.2 MB)
t=  24.9s | network    | nuc_9 → xeongpu_0    | unknown                   | data_download (98.2 MB)
t=  25.0s | replica    | nano_0               | resnet50-training         | finish replica of resnet50-training
t=  25.0s | network    | nuc_9 → nano_16      | unknown                   | data_download (98.2 MB)
t=  25.1s | network    | nuc_9 → nano_8       | unknown                   | data_download (55.3 MB)
t=  25.2s | network    | nuc_9 → nano_15      | unknown                   | data_download (55.3 MB)
t=  25.3s | network    | nuc_9 → nano_12      | unknown                   | data_download (55.3 MB)
t=  25.4s | network    | registry → rpi3_27   | unknown                   | docker_pull (66.8 MB)
t=  25.5s | network    | registry → rpi3_28   | unknown                   | docker_pull (66.8 MB)
t=  25.6s | network    | registry → rpi3_29   | unknown                   | docker_pull (66.8 MB)
t=  25.7s | network    | registry → rpi3_0    | unknown                   | docker_pull (66.8 MB)
t=  25.8s | network    | registry → rpi3_1    | unknown                   | docker_pull (66.8 MB)
t=  25.9s | network    | registry → rpi3_2    | unknown                   | docker_pull (66.8 MB)
t=  26.0s | replica    | nano_1               | resnet50-inference        | deploy replica of resnet50-inference
t=  26.0s | network    | registry → nuc_1     | unknown                   | docker_pull (190.7 MB)
t=  26.1s | network    | registry → nuc_15    | unknown                   | docker_pull (190.7 MB)
t=  26.2s | network    | nuc_9 → nano_12      | unknown                   | data_download (55.3 MB)
t=  26.3s | network    | nuc_9 → nano_8       | unknown                   | data_download (55.3 MB)
t=  26.4s | network    | nuc_9 → nano_12      | unknown                   | data_download (55.3 MB)
t=  26.5s | network    | registry → rpi4_24   | unknown                   | docker_pull (66.8 MB)
t=  26.6s | network    | registry → rpi4_25   | unknown                   | docker_pull (66.8 MB)
t=  26.7s | network    | registry → rpi4_20   | unknown                   | docker_pull (66.8 MB)
t=  26.8s | network    | registry → rpi4_21   | unknown                   | docker_pull (66.8 MB)
t=  26.9s | network    | registry → rpi4_6    | unknown                   | docker_pull (66.8 MB)
t=  27.0s | replica    | nano_17              | resnet50-inference-industrial | deploy replica of resnet50-inference-industrial
t=  27.0s | network    | registry → coral_2   | unknown                   | docker_pull (80.1 MB)
t=  27.1s | network    | registry → nuc_22    | unknown                   | docker_pull (190.7 MB)
t=  27.2s | network    | registry → nuc_44    | unknown                   | docker_pull (190.7 MB)
t=  27.3s | network    | nuc_9 → nano_5       | unknown                   | data_download (55.3 MB)
t=  27.4s | network    | nuc_9 → nano_8       | unknown                   | data_download (55.3 MB)
t=  27.5s | network    | nuc_9 → nano_4       | unknown                   | data_download (55.3 MB)
t=  27.6s | network    | nuc_9 → nano_12      | unknown                   | data_download (55.3 MB)
t=  27.7s | network    | registry → rpi4_7    | unknown                   | docker_pull (66.8 MB)
t=  27.8s | network    | registry → rpi4_8    | unknown                   | docker_pull (66.8 MB)
t=  27.9s | network    | registry → rpi4_9    | unknown                   | docker_pull (66.8 MB)
t=  28.0s | replica    | nano_19              | resnet50-inference-residential | deploy replica of resnet50-inference-residential
t=  28.0s | network    | registry → rpi4_10   | unknown                   | docker_pull (66.8 MB)
t=  28.1s | network    | registry → rpi4_11   | unknown                   | docker_pull (66.8 MB)
t=  28.2s | network    | registry → rpi4_32   | unknown                   | docker_pull (66.8 MB)
t=  28.3s | network    | nuc_9 → nano_5       | unknown                   | data_download (55.3 MB)
t=  28.4s | network    | nuc_9 → nano_13      | unknown                   | data_download (98.2 MB)
t=  28.5s | network    | registry → nuc_66    | unknown                   | docker_pull (190.7 MB)
t=  28.6s | network    | registry → nuc_70    | unknown                   | docker_pull (190.7 MB)
t=  28.7s | network    | nuc_9 → nano_8       | unknown                   | data_download (55.3 MB)
t=  28.8s | network    | nuc_9 → tx2_2        | unknown                   | data_download (98.2 MB)
t=  28.9s | network    | nuc_9 → tx2_3        | unknown                   | data_download (98.2 MB)
t=  29.0s | replica    | nano_14              | resnet50-inference-commercial | deploy replica of resnet50-inference-commercial
t=  29.0s | network    | nuc_9 → nano_12      | unknown                   | data_download (98.2 MB)
t=  29.1s | network    | nuc_9 → nano_8       | unknown                   | data_download (98.2 MB)
t=  29.2s | network    | nuc_9 → nano_14      | unknown                   | data_download (98.2 MB)
t=  29.3s | network    | nuc_9 → nano_5       | unknown                   | data_download (55.3 MB)
t=  29.4s | network    | nuc_9 → nano_4       | unknown                   | data_download (55.3 MB)
t=  29.5s | network    | nuc_9 → nx_1         | unknown                   | data_download (55.3 MB)
t=  29.6s | network    | registry → rpi4_33   | unknown                   | docker_pull (66.8 MB)
